14:25:26 INFO: openSocket successful
14:25:26 INFO: daveNewConnection: 61882288, Mpi=2, nrack=0, slot=2
14:25:26 INFO: connect plc success£¬ip: 127.0.0.1, port: 102
14:27:24 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.30, port-33445
14:27:25 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.40, port-33445
14:27:26 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.50, port-33445
14:27:27 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.60, port-33445
14:27:28 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.70, port-33445
14:27:29 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.80, port-33445
14:27:30 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.90, port-33445
14:27:36 INFO: wait HeartBeat timeout, tvwall_ip-10.212.58.29, port-33445
14:27:37 INFO: wait HeartBeat timeout, tvwall_ip-10.212.58.30, port-33445
14:27:38 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.100, port-33445
14:27:39 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.20, port-33445
14:27:40 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.30, port-33445
14:27:41 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.40, port-33445
14:27:42 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.50, port-33445
14:27:43 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.60, port-33445
14:27:44 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.70, port-33445
14:27:45 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.80, port-33445
14:27:46 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.90, port-33445
14:27:49 INFO: wait HeartBeat timeout, tvwall_ip-10.212.58.29, port-33445
14:27:50 INFO: wait HeartBeat timeout, tvwall_ip-10.212.58.30, port-33445
14:27:51 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.100, port-33445
14:27:52 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.20, port-33445
14:27:53 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.30, port-33445
14:27:54 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.40, port-33445
14:27:55 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.50, port-33445
14:27:56 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.60, port-33445
14:27:57 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.70, port-33445
14:27:58 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.80, port-33445
14:27:59 INFO: wait HeartBeat timeout, tvwall_ip-172.27.21.90, port-33445
14:28:09 INFO: wait HeartBeat timeout, tvwall_ip-10.212.58.29, port-33445
